times,loss
0,1.8222678899765015
0,5.559577941894531
1,12.689496040344238
0,24.431276321411133
1,35.27586364746094
0,40.583648681640625
1,41.993675231933594
0,40.28921127319336
1,39.0933837890625
0,39.86461639404297
1,43.48947525024414
0,49.50231170654297
1,58.55238342285156
2,69.54591369628906
0,82.32222747802734
1,93.65119171142578
0,100.73392486572266
1,103.31698608398438
0,102.09955596923828
1,100.51899719238281
1,98.85406494140625
0,99.71819305419922
1,103.67337036132812
0,110.86202239990234
1,121.6004638671875
1,133.49606323242188
0,145.804931640625
1,156.0985565185547
1,161.1186065673828
0,162.7789764404297
1,161.9546356201172
0,160.87196350097656
1,156.35736083984375
0,154.77438354492188
1,156.3094940185547
1,159.4444580078125
0,164.23309326171875
1,167.68231201171875
0,171.65838623046875
0,173.10427856445312
1,172.06268310546875
0,168.1106719970703
1,163.78787231445312
0,161.73092651367188
1,159.32247924804688
0,162.966552734375
0,163.64144897460938
1,166.43321228027344
0,166.36862182617188
1,168.42843627929688
0,168.3465576171875
1,166.74114990234375
0,164.33303833007812
1,161.2899627685547
0,160.24603271484375
1,161.67245483398438
2,159.20899963378906
0,162.67550659179688
1,164.5850372314453
2,165.8439483642578
0,166.4295196533203
1,164.38546752929688
0,167.80325317382812
1,164.87466430664062
0,164.06967163085938
1,165.5600128173828
1,163.85302734375
2,162.8231964111328
0,162.1931610107422
1,166.09320068359375
1,165.4977264404297
2,166.925537109375
0,165.26527404785156
1,163.74591064453125
0,160.980224609375
0,167.91012573242188
1,168.43064880371094
0,169.69993591308594
1,166.22833251953125
3,162.771240234375
0,161.10003662109375
1,158.28253173828125
0,164.9331817626953
1,165.73477172851562
0,172.7733154296875
0,174.5284881591797
1,173.47000122070312
0,171.39688110351562
1,164.452392578125
2,164.4763946533203
5,155.15711975097656
0,154.1136016845703
1,160.55982971191406
0,168.03948974609375
0,177.6710968017578
1,180.0954132080078
0,180.2571563720703
1,168.83860778808594
0,162.8775177001953
1,158.73968505859375
